existing_artifact_path,model_or_configuration,artifact_kind,sha256,sequence_construction_code_version,pre_or_post_context_fix,training_seed_or_configuration,feeds_final_table_figure_or_combination,legacy_archive_path
outputs/advanced/predictions/calibrated_neural/pred_calibrated_arima_garch_lstm_affine_nonnegative.csv,calibrated_neural_variant,prediction,c94d8f07133b81298808df7db6e9e4f17a66032ccc4ceb7f50520edb5c8c399d,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_arima_garch_lstm_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_arima_garch_lstm_isotonic.csv,calibrated_neural_variant,prediction,e7c93b708b3d5eb6fe1201b110dee93677bbfe418d689b8ec32eff790dca4c30,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_arima_garch_lstm_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_arima_garch_lstm_scale_mean.csv,calibrated_neural_variant,prediction,1470da17682a4ef6b5890573db3c48ace472f82fb96acac66bc85b52c0695dd8,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_arima_garch_lstm_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_arima_garch_lstm_scale_qlike.csv,calibrated_neural_variant,prediction,c4bd92c0888f9f344ed7b2ec0a4032770390c002ff42a657f83407143e700ec3,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_arima_garch_lstm_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_affine_nonnegative.csv,Hybrid-LogTarget,prediction,90f6897cc0fbbce3745407d37f3e5cbc8bacd37023b672ff8b1ae8e0c86840cb,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_isotonic.csv,Hybrid-LogTarget,prediction,31d111ff917c9b5cf526ec95aeb81043aa96a0601a28ec5f614b96694b38a9f8,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_scale_mean.csv,Hybrid-LogTarget,prediction,86d411fd3065ede7fd9096974b56b5cdc4b0b9bf76b379c1c4bbb6a48c97f577,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_scale_qlike.csv,Hybrid-LogTarget,prediction,edf6590f226f65c304a6442adbd7d3ac0cb1da9e0ef1ee3077b0a3bd58ddef24,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_small_affine_nonnegative.csv,Hybrid-LogTarget-Small,prediction,1a4e3043bfa054b295058e544dddc7bfad44917c3f9d383815bdc74083cd6a21,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_small_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_small_isotonic.csv,Hybrid-LogTarget-Small,prediction,1b9df35c9c5446ae1f1c958849b528b151f22929b21d8a7b1c425b3c4f91c4f5,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_small_isotonic.csv
