p,d,q,aic,bic,converged,error,warnings
0,0,0,7462.75521763749,7474.379974049468,True,,
0,0,1,7445.392614220738,7462.829748838704,True,,
0,0,2,7436.842331564572,7460.091844388527,True,,
0,0,3,7434.25083133121,7463.312722361153,True,,
1,0,0,7442.8820846212175,7460.319219239183,True,,
1,0,1,7435.425037215687,7458.674550039641,True,,
1,0,2,7435.499401219303,7464.5612922492455,True,,
1,0,3,7436.18600261576,7471.060271851692,True,,
2,0,0,7434.9198285637885,7458.169341387743,True,,
2,0,1,7435.746754781488,7464.80864581143,True,,
2,0,2,7435.108624277524,7469.982893513456,True,,
2,0,3,7434.817113233268,7475.5037606751885,True,,
3,0,0,7435.062480145077,7464.124371175019,True,,
3,0,1,7436.996308887098,7471.87057812303,True,,
3,0,2,7434.368341990903,7475.054989432823,True,,
3,0,3,7435.963918716528,7482.462944364436,True,,UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters. | UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.
