claim,status,evidence,caveat_or_action,primary_support
GARCH-family models are the most reliable class for daily VN-Index volatility forecasting.,safe,"Original GARCH is the best original common-window QLIKE model; advanced GARCH-family models dominate the robust proxy rank summary.","State as class-level reliability, not as GARCH(1,1) always best.",outputs/advanced/tables/table_advanced_final_leaderboard.csv
GARCH(1,1) is a strong and competitive benchmark.,safe,"Original common-window QLIKE 1.052888; proxy average QLIKE rank 7.00; top-5 under 2/7 proxies.","Qualify that range-based proxies often favor advanced asymmetric specifications.",outputs/metrics/final_model_comparison_common_test_only.csv
Advanced asymmetric or EGARCH-type models are more robust than the simple GARCH(1,1).,needs_caveat,"AdvGARCH-BestAsymmetric average proxy rank 3.29 and top-3 under 5/7 proxies; GARCH(1,1) average rank 7.00.","Do not claim a universally significant improvement across all corrections and proxies.",outputs/proxy_robustness/tables/table_proxy_rank_stability.csv
ARIMA mean dynamics add limited standalone value.,safe,"ARIMA-GARCH QLIKE 1.055679 versus GARCH 1.052888 on original common window; QLIKE DM p approximately 0.400; proxy average rank 9.71 versus 7.00.","Limit to the implemented ARIMA-GARCH protocol.",outputs/advanced/tables/table_advanced_hypothesis_summary.csv
Neural and hybrid models do not robustly dominate econometric benchmarks.,safe,"Original LSTM and hybrid QLIKE exceed GARCH; proxy safety table reports best neural/hybrid average proxy rank weaker than best econometric rank.","Do not say neural or hybrid models are useless.",outputs/proxy_robustness/tables/table_proxy_conclusion_safety.csv
Log-target neural variants can reduce MAE but underpredict volatility spikes and risk.,safe,"Hybrid-LogTarget-Small has best MAE 1.108165 but QLIKE 2.232917; LSTM-LogTarget has 87 violations at 5 percent and 56 at 1 percent.","Use as a metric trade-off and risk-warning claim, not a model-quality endorsement.",outputs/advanced/tables/table_var_backtesting_1pct.csv
Calibration reduces log-target scale bias but does not make neural forecasts beat the best GARCH-family models.,safe,"Average raw log-target QLIKE 2.225569 improves to best calibrated 1.146217; best advanced GARCH-family QLIKE is 1.032548.","Mention persistent gap and residual spike-timing errors.",outputs/advanced/tables/table_advanced_hypothesis_summary.csv
Forecast combinations prove robust hybrid superiority.,unsafe_overclaim,"Best validation-selected combination test QLIKE 1.113530 trails best GARCH-family models; best test combination is exploratory.","Exclude; replace with cautious complementary-information wording.",outputs/advanced/tables/table_forecast_combination_test.csv
No model is decisively statistically superior to GARCH(1,1) after multiple testing.,safe,"Raw QLIKE DM improvements exist, but no QLIKE improvement over GARCH survives Holm correction at 10 percent; MCS retains 68/73 models.","Use together with observed QLIKE improvements to avoid overclaiming.",outputs/advanced/audit/advanced_hypothesis_tests_report.md
Volatility proxy choice matters and exact rankings are proxy-sensitive.,safe,"Correlations with squared return range from 0.274 to 0.654; top-ranked QLIKE model changes by proxy.","State directional robustness, not invariant ordering.",outputs/proxy_robustness/tables/table_proxy_correlations.csv
