model,family,classification,selection_basis,selection_window,test_window,test_QLIKE,claim_use,primary_support
GARCH(1,1),original_econometric,validation_selected_primary,original benchmark fixed before advanced search,common original test window,2023-02-07 to 2025-12-31,1.052888,strong benchmark and calibration reference,outputs/metrics/final_model_comparison_common_test_only.csv
ARIMA-GARCH,original_econometric,validation_selected_primary,original benchmark fixed before advanced search,common original test window,2023-02-07 to 2025-12-31,1.055679,mean-dynamics benchmark close to GARCH,outputs/metrics/final_model_comparison_common_test_only.csv
AdvGARCH-BestQLIKE,advanced_garch_family,validation_selected_primary,minimum validation QLIKE in broad GARCH-family search,advanced validation window,full advanced test window,1.032548,main advanced selected GARCH-family result,outputs/advanced/tables/table_garch_family_selected_models.csv
AdvGARCH-BestAsymmetric,advanced_garch_family,validation_selected_category,best asymmetric GARCH-family model by validation QLIKE,advanced validation window,full advanced test window,1.029992,category-selected asymmetric robustness result; test-best wording requires caveat,outputs/advanced/tables/table_garch_family_selected_models.csv
AdvGARCH-BestHeavyTail,advanced_garch_family,validation_selected_category,best heavy-tailed GARCH-family model by validation QLIKE,advanced validation window,full advanced test window,1.031536,category-selected heavy-tail robustness result,outputs/advanced/tables/table_garch_family_selected_models.csv
Refit-BestGARCHFamily-fixed_train_only,refit_garch,validation_selected_category,best refit protocol for best GARCH-family model by validation QLIKE,advanced validation window,full advanced test window,1.032548,evidence that fixed train-only was selected for the best GARCH-family case,outputs/advanced/tables/table_refit_protocol_test.csv
ComboStack-PoolD_AllStable,forecast_combination,validation_selected_combination,best forecast combination by validation QLIKE,combination validation window,common advanced test window,1.113530,primary validation-selected combination result,outputs/advanced/tables/table_forecast_combination_validation.csv
ComboPair-BestGARCHFamily_HybridQLIKE,forecast_combination,ex_post_test_best,validation-fitted pair but identified as best overall by test QLIKE only after test evaluation,combination validation window,common advanced test window,1.026265,exploratory best-test combination only,outputs/advanced/tables/table_advanced_final_leaderboard.csv
Hybrid-QLIKE,original_neural_or_hybrid,validation_selected_category,tuned hybrid selected by validation QLIKE in original neural search,original validation window,common original test window,1.230508,neural or hybrid comparison result,outputs/metrics/final_model_comparison_common_test_only.csv
LSTM-LogTarget,original_neural_or_hybrid,exploratory_only,raw log-target neural model included for diagnostic comparison,original validation window,common original test window,2.301502,underprediction and VaR cautionary evidence,outputs/advanced/tables/table_var_backtesting_1pct.csv
