proxy,reason,row_count,first_date,last_date
all_ohlc_proxies,missing_ohlc,0,,
all_ohlc_proxies,nonpositive_ohlc,0,,
all_ohlc_proxies,high_below_low,0,,
all_ohlc_proxies,high_below_open_or_close,8,2010-09-06,2025-11-25
all_ohlc_proxies,low_above_open_or_close,4,2010-10-08,2015-06-08
close_to_close_squared_return,nonfinite_formula_value,1,2010-01-04,2010-01-04
close_to_close_squared_return,negative_formula_value,0,,
parkinson,nonfinite_formula_value,0,,
parkinson,negative_formula_value,0,,
garman_klass,nonfinite_formula_value,0,,
garman_klass,negative_formula_value,4,2010-09-06,2025-11-25
rogers_satchell,nonfinite_formula_value,0,,
rogers_satchell,negative_formula_value,2,2010-09-06,2010-09-17
yang_zhang_5,rolling_window_unavailable_or_nonfinite,5,2010-01-04,2010-01-08
yang_zhang_5,negative_formula_value,0,,
yang_zhang_10,rolling_window_unavailable_or_nonfinite,10,2010-01-04,2010-01-15
yang_zhang_10,negative_formula_value,0,,
yang_zhang_20,rolling_window_unavailable_or_nonfinite,20,2010-01-04,2010-01-29
yang_zhang_20,negative_formula_value,0,,
